id,feature_class,feature_code,name,description
396,S,MSSN,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion"
397,S,MSSNQ,abandoned mission,
398,S,MSTY,monastery,a building and grounds where a community of monks lives in seclusion
399,S,MTRO,metro station,"metro station (Underground, Tube, or Metro)"
400,S,MUS,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
401,S,NOV,novitiate,a religious house or school where novices are trained
402,S,NSY,nursery(-ies),a place where plants are propagated for transplanting or grafting
403,S,OBPT,observation point,a wildlife or scenic observation point
404,S,OBS,observatory,a facility equipped for observation of atmospheric or space phenomena
405,S,OBSR,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space
406,S,OILJ,oil pipeline junction,a section of an oil pipeline where two or more pipes join together
407,S,OILQ,abandoned oil well,
408,S,OILR,oil refinery,a facility for converting crude oil into refined petroleum products
409,S,OILT,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored"
410,S,OILW,oil well,a well from which oil may be pumped
411,S,OPRA,opera house,A theater designed chiefly for the performance of operas.
412,S,PAL,palace,"a large stately house, often a royal or presidential residence"
413,S,PGDA,pagoda,"a tower-like storied structure, usually a Buddhist shrine"
414,S,PIER,pier,a structure built out into navigable water on piles providing berthing for ships and recreation
415,S,PKLT,parking lot,an area used for parking vehicles
416,S,PMPO,oil pumping station,a facility for pumping oil through a pipeline
417,S,PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline
418,S,PO,post office,"a public building in which mail is received, sorted and distributed"
419,S,PP,police post,a building in which police are stationed
420,S,PPQ,abandoned police post,
421,S,PRKGT,park gate,a controlled access to a park
422,S,PRKHQ,park headquarters,a park administrative facility
423,S,PRN,prison,a facility for confining prisoners
424,S,PRNJ,reformatory,"a facility for confining, training, and reforming young law offenders"
425,S,PRNQ,abandoned prison,
426,S,PS,power station,a facility for generating electric power
427,S,PSH,hydroelectric power station,a building where electricity is generated from water power
428,S,PSN,nuclear power station,nuclear power station
429,S,PSTB,border post,a post or station at an international boundary for the regulation of movement of people and goods
430,S,PSTC,customs post,a building at an international boundary where customs and duties are paid on goods
431,S,PSTP,patrol post,a post from which patrols are sent out
432,S,PYR,pyramid,an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
433,S,PYRS,pyramids,ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
